bar1_y  bar2_y  Run     Waiting    N  beta_c  beta_d  beta_w
0        1       1    0  323.124122  500     1.9       1     0.5
1        1       7    1  230.153817  500     1.9       1     0.5
2        1      13    2  181.765528  500     1.9       1     0.5
3        1      19    3  192.723240  500     1.9       1     0.5
4        1      25    4  148.883299  500     1.9       1     0.5
5        1      31    5  160.934846  500     1.9       1     0.5
6        7       1    6  224.689820  500     1.9       1     0.5
7        7       7    7  324.036218  500     1.9       1     0.5
8        7      13    8  157.846683  500     1.9       1     0.5
9        7      19    9  145.117706  500     1.9       1     0.5
10       7      25   10  141.441354  500     1.9       1     0.5
11       7      31   11  153.085278  500     1.9       1     0.5
12      13       1   12  197.073316  500     1.9       1     0.5
13      13       7   13  179.659634  500     1.9       1     0.5
14      13      13   14  322.443759  500     1.9       1     0.5
15      13      19   15  135.425460  500     1.9       1     0.5
16      13      25   16  118.708286  500     1.9       1     0.5
17      13      31   17  146.619729  500     1.9       1     0.5
18      19       1   18  179.956918  500     1.9       1     0.5
19      19       7   19  142.725947  500     1.9       1     0.5
20      19      13   20  134.697542  500     1.9       1     0.5
21      19      19   21  335.242430  500     1.9       1     0.5
22      19      25   22  163.661722  500     1.9       1     0.5
23      19      31   23  178.829449  500     1.9       1     0.5
24      25       1   24  187.088643  500     1.9       1     0.5
25      25       7   25  139.521199  500     1.9       1     0.5
26      25      13   26  132.952930  500     1.9       1     0.5
27      25      19   27  156.800436  500     1.9       1     0.5
28      25      25   28  356.876172  500     1.9       1     0.5
29      25      31   29  174.550422  500     1.9       1     0.5
30      31       1   30  187.000423  500     1.9       1     0.5
31      31       7   31  203.050638  500     1.9       1     0.5
32      31      13   32  146.329574  500     1.9       1     0.5
33      31      19   33  179.128062  500     1.9       1     0.5
34      31      25   34  199.742396  500     1.9       1     0.5
35      31      31   35  348.286988  500     1.9       1     0.5
